season,season_start_year,league_key,team_name,squad_market_value_eur,top_players,injured_players,injured_top_player_count,stadium_capacity
2021/2022,2021,super_lig,Fenerbahce,24780000000.0,[],[],0,
2021/2022,2021,super_lig,Galatasaray,34475000000.0,[],[],0,
2021/2022,2021,super_lig,Trabzonspor,11450000000.0,[],[],0,
2021/2022,2021,super_lig,Besiktas JK,18510000000.0,[],[],0,
2021/2022,2021,super_lig,Basaksehir FK,7210000000.0,[],[],0,
2021/2022,2021,super_lig,Alanyaspor,3085000000.0,[],[],0,
2021/2022,2021,super_lig,Konyaspor,3835000000.0,[],[],0,
2021/2022,2021,super_lig,Adana Demirspor,123000000.0,[],[],0,
2021/2022,2021,super_lig,Kasimpasa,2775000000.0,[],[],0,
2021/2022,2021,super_lig,Kayserispor,2790000000.0,[],[],0,
2021/2022,2021,super_lig,Antalyaspor,2240000000.0,[],[],0,
2021/2022,2021,super_lig,Hatayspor,332000000.0,[],[],0,
2021/2022,2021,super_lig,Fatih Karagümrük,1485000000.0,[],[],0,
2021/2022,2021,super_lig,Giresunspor,21.0,[],[],0,
2021/2022,2021,super_lig,Sivasspor,1210000000.0,[],[],0,
2021/2022,2021,super_lig,Gaziantep FK,3000000000.0,[],[],0,
2021/2022,2021,super_lig,Göztepe,5713000000.0,[],[],0,
2021/2022,2021,super_lig,Caykur Rizespor,4000000000.0,[],[],0,
2021/2022,2021,super_lig,Yeni Malatyaspor,65000.0,[],[],0,
2021/2022,2021,super_lig,Altay SK,21.0,[],[],0,
2022/2023,2022,super_lig,Galatasaray,34475000000.0,[],[],0,
2022/2023,2022,super_lig,Fenerbahce,24780000000.0,[],[],0,
2022/2023,2022,super_lig,Trabzonspor,11450000000.0,[],[],0,
2022/2023,2022,super_lig,Besiktas JK,18510000000.0,[],[],0,
2022/2023,2022,super_lig,Basaksehir FK,7210000000.0,[],[],0,
2022/2023,2022,super_lig,Adana Demirspor,123000000.0,[],[],0,
2022/2023,2022,super_lig,Konyaspor,3835000000.0,[],[],0,
2022/2023,2022,super_lig,Alanyaspor,3085000000.0,[],[],0,
2022/2023,2022,super_lig,Antalyaspor,2240000000.0,[],[],0,
2022/2023,2022,super_lig,MKE Ankaragücü,209000000.0,[],[],0,
2022/2023,2022,super_lig,Fatih Karagümrük,1485000000.0,[],[],0,
2022/2023,2022,super_lig,Kasimpasa,2775000000.0,[],[],0,
2022/2023,2022,super_lig,Kayserispor,2790000000.0,[],[],0,
2022/2023,2022,super_lig,Sivasspor,1210000000.0,[],[],0,
2022/2023,2022,super_lig,Gaziantep FK,3000000000.0,[],[],0,
2022/2023,2022,super_lig,Hatayspor,332000000.0,[],[],0,
2022/2023,2022,super_lig,Istanbulspor,863000000.0,[],[],0,
2022/2023,2022,super_lig,Giresunspor,22.0,[],[],0,
2022/2023,2022,super_lig,Ümraniyespor,753000000.0,[],[],0,
2023/2024,2023,super_lig,Galatasaray,34475000000.0,[],[],0,
2023/2024,2023,super_lig,Fenerbahce,24780000000.0,[],[],0,
2023/2024,2023,super_lig,Besiktas JK,18510000000.0,[],[],0,
2023/2024,2023,super_lig,Trabzonspor,11450000000.0,[],[],0,
2023/2024,2023,super_lig,Basaksehir FK,7210000000.0,[],[],0,
2023/2024,2023,super_lig,Adana Demirspor,123000000.0,[],[],0,
2023/2024,2023,super_lig,Samsunspor,5235000000.0,[],[],0,
2023/2024,2023,super_lig,Caykur Rizespor,4000000000.0,[],[],0,
2023/2024,2023,super_lig,Kayserispor,2790000000.0,[],[],0,
2023/2024,2023,super_lig,MKE Ankaragücü,209000000.0,[],[],0,
2023/2024,2023,super_lig,Alanyaspor,3085000000.0,[],[],0,
2023/2024,2023,super_lig,Fatih Karagümrük,1485000000.0,[],[],0,
